"time","bin","user"
1,"Low","Katherine_5655"
2,"Low","Katherine_5655"
3,"Low","Katherine_5655"
4,"Low","Katherine_5655"
5,"Low","Katherine_5655"
1,"Low","Kathryn_2393"
2,"Med","Kathryn_2393"
3,"Low","Kathryn_2393"
4,"Low","Kathryn_2393"
5,"Low","Kathryn_2393"
1,"Med","Kathryn_3504"
2,"Low","Kathryn_3504"
3,"Low","Kathryn_3504"
4,"Low","Kathryn_3504"
5,"Low","Kathryn_3504"
1,"Low","Kathryn_3670"
2,"Low","Kathryn_3670"
3,"Low","Kathryn_3670"
4,"Low","Kathryn_3670"
5,"Low","Kathryn_3670"
1,"Low","Kathryn_6720"
2,"Low","Kathryn_6720"
3,"Low","Kathryn_6720"
4,"Low","Kathryn_6720"
5,"Low","Kathryn_6720"
1,"High","Lucas_1743"
2,"Low","Lucas_1743"
3,"Med","Lucas_1743"
4,"Low","Lucas_1743"
5,"Low","Lucas_1743"
1,"Low","Lucas_391"
2,"Low","Lucas_391"
3,"Med","Lucas_391"
4,"Low","Lucas_391"
5,"Med","Lucas_391"
1,"Low","Luke_2004"
2,"Low","Luke_2004"
3,"Low","Luke_2004"
4,"Low","Luke_2004"
5,"Low","Luke_2004"
1,"Low","Luke_2724"
2,"Low","Luke_2724"
3,"Med","Luke_2724"
4,"Med","Luke_2724"
5,"Low","Luke_2724"
1,"Low","Luke_3460"
2,"High","Luke_3460"
3,"High","Luke_3460"
4,"High","Luke_3460"
5,"Med","Luke_3460"
1,"Low","Luke_7423"
2,"Low","Luke_7423"
3,"Low","Luke_7423"
4,"Low","Luke_7423"
5,"Low","Luke_7423"
1,"Low","Luke_88"
2,"Med","Luke_88"
3,"Med","Luke_88"
4,"Low","Luke_88"
5,"Low","Luke_88"
1,"Low","Malik_1436"
2,"High","Malik_1436"
3,"Med","Malik_1436"
4,"Low","Malik_1436"
5,"Low","Malik_1436"
1,"High","Malik_3915"
2,"Med","Malik_3915"
3,"High","Malik_3915"
4,"High","Malik_3915"
5,"High","Malik_3915"
1,"Low","Malik_7556"
2,"Low","Malik_7556"
3,"Low","Malik_7556"
4,"Low","Malik_7556"
5,"Low","Malik_7556"
1,"Low","Molly_5679"
2,"High","Molly_5679"
3,"Low","Molly_5679"
4,"Low","Molly_5679"
5,"Low","Molly_5679"
1,"Low","Molly_6880"
2,"Low","Molly_6880"
3,"Low","Molly_6880"
4,"Low","Molly_6880"
5,"Low","Molly_6880"
1,"Low","Molly_6953"
2,"Low","Molly_6953"
3,"Low","Molly_6953"
4,"Low","Molly_6953"
5,"Low","Molly_6953"
1,"Low","Molly_7391"
2,"Low","Molly_7391"
3,"Low","Molly_7391"
4,"Low","Molly_7391"
5,"Low","Molly_7391"
1,"Med","Molly_9336"
2,"Med","Molly_9336"
3,"Med","Molly_9336"
4,"Med","Molly_9336"
5,"Med","Molly_9336"
1,"Low","Raven_5836"
2,"Low","Raven_5836"
