"MTurk_ID","username","id","Role","survey","mentions"
"ARR3UJTM2ZGK4","Jake_5852",2734,"participant",5,0
"A2A6FH0F7LD9ND","Jake_8222",2426,"sockpuppet",4,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",2,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",3,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",4,0
"AE1YA7Q3UKPRI","Jamal_263",2299,"observer",5,0
"ARI1EMAHUA9PO","Jamal_3690",2531,"sockpuppet",1,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",1,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",2,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",3,0
"APRZ7BR8C0ZMQ","Jamal_4473",2391,"sockpuppet",4,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",1,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",2,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",3,0
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",4,1
"A2OX8TSRCU6NKD","Jamal_5796",2649,"participant",5,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",1,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",2,0
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",3,4
"A2DDLZD87UHANI","Jamal_8048",2544,"sockpuppet",4,0
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",1,6
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",2,1
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",3,2
"A3EYRDEQ7CXUMN","Jenna_214",2593,"participant",4,3
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",1,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",2,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",3,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",4,0
"A36GU3OHGLDS8R","Jenna_2905",2341,"observer",5,0
"A2A6FH0F7LD9ND","Jenna_3798",2422,"sockpuppet",4,0
"A3FBC5W56LKQXL","Jenna_4354",2623,"participant",1,0
"A247TCDIBB07JC","Jenna_5040",2454,"sockpuppet",2,0
"A247TCDIBB07JC","Jenna_5040",2454,"sockpuppet",3,0
"A247TCDIBB07JC","Jenna_5040",2454,"sockpuppet",4,0
"A247TCDIBB07JC","Jenna_5040",2454,"sockpuppet",5,0
"A18XVBWB2A270I","Katherine_2323",2338,"observer",1,0
"A18XVBWB2A270I","Katherine_2323",2338,"observer",2,0
"A18XVBWB2A270I","Katherine_2323",2338,"observer",3,0
"A18XVBWB2A270I","Katherine_2323",2338,"observer",4,0
"A18XVBWB2A270I","Katherine_2323",2338,"observer",5,0
"A26OOAGHOYSGYF","Katherine_5655",2408,"sockpuppet",1,0
"A2MYLV7DGUL42B","Kathryn_2393",2559,"sockpuppet",3,0
"A2MYLV7DGUL42B","Kathryn_2393",2559,"sockpuppet",4,0
"A1DCKRRPA4AWVD","Kathryn_3504",2719,"participant",4,0
"A1DCKRRPA4AWVD","Kathryn_3504",2719,"participant",5,0
"A2JHF7CU91EVXW","Kathryn_3670",2611,"participant",1,0
"A2IYR9HF66R029","Kathryn_4635",2296,"observer",1,0
"A2IYR9HF66R029","Kathryn_4635",2296,"observer",2,0
"A2IYR9HF66R029","Kathryn_4635",2296,"observer",3,0
"A2IYR9HF66R029","Kathryn_4635",2296,"observer",4,0
"A247TCDIBB07JC","Kathryn_6720",2456,"sockpuppet",1,0
"A247TCDIBB07JC","Kathryn_6720",2456,"sockpuppet",2,0
"A247TCDIBB07JC","Kathryn_6720",2456,"sockpuppet",3,0
"A247TCDIBB07JC","Kathryn_6720",2456,"sockpuppet",4,0
"A247TCDIBB07JC","Kathryn_6720",2456,"sockpuppet",5,0
"A2X3O8OGDVDPD6","Kathryn_695",2351,"observer",1,0
"A3D8ZG1VV5FO35","Katie_1264",2285,"observer",4,0
"A32TIY5IZGI28V","Katie_8280",2274,"observer",1,0
"A32TIY5IZGI28V","Katie_8280",2274,"observer",2,0
"A32TIY5IZGI28V","Katie_8280",2274,"observer",3,0
"A32TIY5IZGI28V","Katie_8280",2274,"observer",4,0
"A32TIY5IZGI28V","Katie_8280",2274,"observer",5,0
