id|query|createdAt|updatedAt|UserId
127|mandate|2020-09-03 11:25:37.61+00|2020-09-03 11:25:37.61+00|2702
128|""|2020-09-03 11:25:39.516+00|2020-09-03 11:25:39.516+00|2702
129|jamal_8048|2020-09-03 11:58:50.486+00|2020-09-03 11:58:50.486+00|2541
130|""|2020-09-03 12:11:45.505+00|2020-09-03 12:11:45.505+00|2687
131|malik_3915|2020-09-03 12:19:42.899+00|2020-09-03 12:19:42.899+00|2544
132|scott_2906|2020-09-03 12:20:06.181+00|2020-09-03 12:20:06.181+00|2544
133|amy_7578|2020-09-03 12:20:28.585+00|2020-09-03 12:20:28.585+00|2544
134|malik_1436|2020-09-03 12:33:22.233+00|2020-09-03 12:33:22.233+00|2544
135|willi_6658|2020-09-03 12:33:41.421+00|2020-09-03 12:33:41.421+00|2544
136|willie_6658|2020-09-03 12:33:48.932+00|2020-09-03 12:33:48.932+00|2544
137|willie_6658|2020-09-03 12:34:05.898+00|2020-09-03 12:34:05.898+00|2540
138|willie_6658|2020-09-03 12:34:13.838+00|2020-09-03 12:34:13.838+00|2541
139|willie_6658|2020-09-03 12:34:24.855+00|2020-09-03 12:34:24.855+00|2542
140|Malik_1436|2020-09-03 12:34:39.902+00|2020-09-03 12:34:39.902+00|2544
141|Malik_1436|2020-09-03 12:34:48.826+00|2020-09-03 12:34:48.826+00|2543
142|Malik_1436|2020-09-03 12:34:58.847+00|2020-09-03 12:34:58.847+00|2540
143|Malik_1436|2020-09-03 12:35:33.893+00|2020-09-03 12:35:33.893+00|2545
144|Jamal_8048|2020-09-03 12:36:30.59+00|2020-09-03 12:36:30.59+00|2543
145|Jamal_8048|2020-09-03 12:36:50.883+00|2020-09-03 12:36:50.883+00|2540
146|Jamal_8048|2020-09-03 12:37:04.962+00|2020-09-03 12:37:04.962+00|2541
147|Jamal_8048|2020-09-03 12:37:21.881+00|2020-09-03 12:37:21.881+00|2542
148|Jamal_8048|2020-09-03 12:37:34.905+00|2020-09-03 12:37:34.905+00|2545
149|covid|2020-09-03 12:52:45.023+00|2020-09-03 12:52:45.023+00|1976
150|covid|2020-09-03 12:53:06.736+00|2020-09-03 12:53:06.736+00|2337
151|covid19|2020-09-03 12:53:11.312+00|2020-09-03 12:53:11.312+00|1976
152|covid19|2020-09-03 12:53:15.805+00|2020-09-03 12:53:15.805+00|1976
153|covid|2020-09-03 12:53:22.957+00|2020-09-03 12:53:22.957+00|1976
154|vote|2020-09-03 12:57:55.46+00|2020-09-03 12:57:55.46+00|2326
155|vote|2020-09-03 13:01:56.454+00|2020-09-03 13:01:56.454+00|2326
156|covid|2020-09-03 13:04:14.006+00|2020-09-03 13:04:14.006+00|2326
157|corona|2020-09-03 13:06:31.13+00|2020-09-03 13:06:31.13+00|2326
158|immigration|2020-09-03 13:08:51.654+00|2020-09-03 13:08:51.654+00|2285
159|dump trump|2020-09-03 13:09:08.257+00|2020-09-03 13:09:08.257+00|2285
160|BLM|2020-09-03 13:09:23.689+00|2020-09-03 13:09:23.689+00|2285
