"MTurk_ID","username","id","Role","survey","mentions","per_rank"
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",3,0,0
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",4,0,0
"A1PBRKFHSF1OF8","Dustin_3123",2700,"participant",5,0,0
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",1,3,0.947826086956522
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",2,2,0.921739130434783
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",3,5,0.982608695652174
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",4,3,0.921739130434783
"A1FG2G9TZSDN","Dustin_3915",2667,"participant",5,1,0.878260869565217
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",1,0,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",2,0,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",3,0,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",4,0,0
"AWDVZCZQZFE7K","Dustin_8843",2313,"observer",5,0,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",1,0,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",2,0,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",3,0,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",4,0,0
"A3RB9WPEC9YL2P","Emily_1670",2304,"observer",5,0,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Emily_3830",2421,"sockpuppet",5,0,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",1,1,0.834782608695652
"A3201SGKC2IXYI","Emily_5181",2596,"participant",2,0,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",3,0,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",4,0,0
"A3201SGKC2IXYI","Emily_5181",2596,"participant",5,0,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",1,0,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",2,0,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",3,0,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",4,0,0
"ARI1EMAHUA9PO","Emma_9672",2530,"sockpuppet",5,0,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",1,0,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",2,0,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",3,0,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",4,0,0
"A1TMEYQTC4RL9G","Hannah_5834",2722,"participant",5,0,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",1,0,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",2,0,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",3,0,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",4,0,0
"A2A6FH0F7LD9ND","Hannah_6992",2424,"sockpuppet",5,0,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",1,0,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",2,0,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",3,0,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",4,0,0
"A2AYD8G2NV0RNQ","Hannah_8848",2608,"participant",5,0,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",1,0,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",2,0,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",3,0,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",4,0,0
"A27KZJJR9201NN","Heather_1039",2603,"participant",5,0,0
"AK1PBMID4RD59","Heather_253",2687,"participant",1,0,0
"AK1PBMID4RD59","Heather_253",2687,"participant",2,1,0.826086956521739
"AK1PBMID4RD59","Heather_253",2687,"participant",3,0,0
"AK1PBMID4RD59","Heather_253",2687,"participant",4,4,0.973913043478261
"AK1PBMID4RD59","Heather_253",2687,"participant",5,7,0.982608695652174
