createdAt|updatedAt|FollowerId|FollowingId
2020-09-06 15:06:02.369+00|2020-09-06 15:06:02.369+00|2580|2588
2020-09-06 15:09:20.643+00|2020-09-06 15:09:20.643+00|2457|2588
2020-09-06 15:11:44.605+00|2020-09-06 15:11:44.605+00|2750|2588
2020-09-06 15:27:05.543+00|2020-09-06 15:27:05.543+00|2718|2588
2020-09-06 15:38:28.128+00|2020-09-06 15:38:28.128+00|2545|2593
2020-09-06 17:34:41.999+00|2020-09-06 17:34:41.999+00|2408|2541
2020-09-06 19:52:25.059+00|2020-09-06 19:52:25.059+00|2545|2389
2020-09-06 21:29:26.278+00|2020-09-06 21:29:26.278+00|2663|2388
2020-09-06 21:32:50.913+00|2020-09-06 21:32:50.913+00|2691|2388
2020-09-06 21:38:34.14+00|2020-09-06 21:38:34.14+00|2610|2388
2020-09-06 21:41:02.209+00|2020-09-06 21:41:02.209+00|2702|2388
2020-09-06 21:58:42.458+00|2020-09-06 21:58:42.458+00|2702|2655
2020-09-06 22:33:22.698+00|2020-09-06 22:33:22.698+00|2540|2655
2020-09-07 11:54:09.297+00|2020-09-07 11:54:09.297+00|2407|2389
2020-09-07 12:41:34.126+00|2020-09-07 12:41:34.126+00|2388|2389
2020-09-07 12:50:18.399+00|2020-09-07 12:50:18.399+00|2390|2389
2020-09-07 13:21:41.205+00|2020-09-07 13:21:41.205+00|2389|2391
2020-09-07 14:00:36.34+00|2020-09-07 14:00:36.34+00|2387|2391
2020-09-07 14:12:34.173+00|2020-09-07 14:12:34.173+00|2687|2391
2020-09-07 14:34:21.729+00|2020-09-07 14:34:21.729+00|2654|2391
2020-09-07 14:52:07.852+00|2020-09-07 14:52:07.852+00|2388|2391
2020-09-07 15:21:25.066+00|2020-09-07 15:21:25.066+00|2687|2588
2020-09-07 15:24:58.906+00|2020-09-07 15:24:58.906+00|2390|2391
2020-09-07 15:27:13.921+00|2020-09-07 15:27:13.921+00|2391|2588
2020-09-07 15:33:14.1+00|2020-09-07 15:33:14.1+00|2649|2588
2020-09-07 15:48:50.197+00|2020-09-07 15:48:50.197+00|2387|2390
2020-09-07 18:34:51.57+00|2020-09-07 18:34:51.57+00|2691|2655
2020-09-07 18:42:17.706+00|2020-09-07 18:42:17.706+00|2622|2655
2020-09-07 19:50:10.677+00|2020-09-07 19:50:10.677+00|2388|2387
2020-09-07 20:05:47.518+00|2020-09-07 20:05:47.518+00|2389|2701
2020-09-07 20:26:35.474+00|2020-09-07 20:26:35.474+00|2391|2387
2020-09-07 21:41:52.795+00|2020-09-07 21:41:52.795+00|2390|2388
2020-09-07 22:10:04.674+00|2020-09-07 22:10:04.674+00|2391|2388
2020-09-07 22:24:46.833+00|2020-09-07 22:24:46.833+00|2389|2388
2020-09-08 01:11:55.046+00|2020-09-08 01:11:55.046+00|2687|2610
2020-09-08 11:21:36.381+00|2020-09-08 11:21:36.381+00|2388|2390
2020-09-08 11:34:20.423+00|2020-09-08 11:34:20.423+00|2389|2390
